StateCode,Obesity,InfantMortality,Unemployment,SNAP,Poverty,HigherEducation,MoreDemocrat16,MoreDemocrat12,MoreDemocrat08,MoreDemocrat
AL,35.7,8.52,4.4,16.4931636452107,16.3,54.4665046612656,0.356258564060393,0.387837714665623,0.391090972464273,0.3784677854721
AK,31.4,6.45,7.2,12.0303597618259,10.9,65.1519675290374,0.416143452889319,0.426847095184396,0.389352150834029,0.410005968853438
AZ,29,5.61,4.9,13.0981276376194,16.6,62.8235203588788,0.481099765989605,0.453866197762968,0.456860992803837,0.464318827343082
AR,35.7,7.63,3.7,12.9149123633324,16.1,51.6897201032129,0.357148623102295,0.378455946487704,0.398282793892827,0.377926515367224
CA,25,4.5,4.8,10.4004757307099,13.9,61.9468282700117,0.661282205427299,0.618728111632966,0.622784495915854,0.634465952515032
CO,22.3,4.85,2.8,8.18597099348439,9.2,69.490637580076,0.526833333726824,0.527479883142025,0.545508076580837,0.533003955768784
CT,26,5.09,4.7,11.4263928494191,9.5,63.0142515186991,0.571415475172636,0.587725774769071,0.613183382497542,0.591061515478596
DE,30.7,7.43,4.6,15.2816342824233,11.3,57.2757857178434,0.559986214436812,0.594469549192782,0.626381386498886,0.593261854182856
DC,22.6,7.65,6.1,17.7240580311598,16.5,72.7191882671954,0.956951883418541,0.925876492021175,0.934007683334157,0.939243670994404
FL,27.4,6.16,4.2,15.1874725986924,14.6,58.480123773172,0.493811645272245,0.504422521393662,0.514196600308993,0.503826586365757
GA,31.4,7.44,4.7,15.5809852149395,16.8,58.6360705603727,0.473388274006968,0.460433509019433,0.473716644891882,0.469236276841491
HI,23.8,5.5,2.4,11.8385640172101,10.1,63.9325204326814,0.674413374505355,0.717038485010744,0.729937258784554,0.708289496065671
ID,27.4,5.21,3.2,9.9595618491703,11.7,62.5670834617136,0.316898233191944,0.335786131564247,0.369754101949795,0.341347350651987
IL,31.6,6.18,5,14.6773677878879,11.5,62.87665666615,0.590200513907115,0.585775233921169,0.627342640445594,0.601539553183913
IN,32.5,7.21,3.5,10.079771189194,12.7,54.6193167744849,0.398826904754919,0.447996254026727,0.505219534453781,0.451581011498784
IA,32,4.41,3.1,11.6348895368964,10.1,60.6314266274401,0.449364521548797,0.529593519281002,0.548487777894674,0.510087556636982
KS,31.2,6.21,3.6,8.03261654245289,12.7,64.3150191126973,0.388885296573933,0.388866732547469,0.423877241810906,0.40121156084663
KY,34.2,6.74,4.9,14.7052583534286,17.4,53.3715638978217,0.343293709824901,0.384572276061951,0.417665724122954,0.381602724441138
LA,35.5,7.92,5.1,19.4051106101979,19.4,50.3787776643489,0.398283227621922,0.41253174385886,0.405428258384146,0.405417520655959
ME,29.9,6.78,3.3,13.4739918272754,12.5,59.3917247501213,0.515929548208413,0.578599213935771,0.588295249834076,0.550022557804822
MD,29.9,6.57,4.1,11.3017183734051,8.4,64.7375093025896,0.640162496847694,0.63321725786906,0.629300872928855,0.634243109441194
MA,23.6,4.28,3.7,11.1373200954719,10.6,65.9613771717276,0.646512786896295,0.6178568074906,0.63197078213353,0.632078186538648
MI,32.5,6.68,4.6,13.8020184272505,11.9,61.1524285094289,0.498823317830385,0.548005320711779,0.583713015761545,0.544614851840269
MN,27.8,5.09,3.5,8.14115252180269,8.3,67.738692604025,0.508318569336153,0.539412264616982,0.552293749953927,0.533824889463517
MS,37.3,9.08,5.1,17.9953754900975,20.1,53.2928602744374,0.409101526759399,0.441981008012122,0.433580690071362,0.428678300170723
MO,31.7,6.38,3.8,12.4150818217685,11.4,58.861459825179,0.401814390044339,0.4522133324662,0.499324208503234,0.452419263058233
MT,25.5,5.72,4,11.5184013601233,11.8,63.8440618790485,0.388903356829756,0.429657681361185,0.488305967160593,0.436225061485384
NE,32,5.33,2.9,9.16630383380658,9.9,64.4889935842807,0.364530340580286,0.388706097317746,0.423909255778344,0.385488595287548
NV,25.8,5.34,5,14.709615185126,11.5,56.9488861589269,0.512937094199852,0.534075421633465,0.563867381251961,0.536072488130764
