StateAbbr,StateName,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IL,Illinois,16974,39738,16113,12092,44676,58229,1232,11545,87362,1127,7365,50135,9543,27542,17418,6998,26129,7584,37072,5715,17507,16310,27104,15475,33190,13588,42124,9632,23045,9611,22656,16108,16795,10247,15839,4565,11646,1306,1483,1105,3293,3585,4416,2250,2045,1865,2039,1919,792,1317,339,28,14,148,66,137,150,109,28,10,1,0,0,0,6,0,1,8,1,0,3,3,0,1,1,2,0,1,32,0,0,3,0,5,2,0,0
AL,Alabama,4389,8934,270,1735,15849,7214,572,620,13511,4381,3052,8696,3564,3865,7199,339,3986,3693,2058,11066,1503,3144,11878,2799,8451,2061,7117,9264,7664,3467,2075,2588,2379,1165,18140,2346,1813,1345,158,12,486,2086,142,19,21,5,0,79,60,94,22,0,2,0,0,0,0,4,0,14,4,0,0,1,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0
AK,Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1487,536,2511,958,1259,1829,1456,1002,1406,1849,1169,215,641,148,4,22,73,40,7,5,1,0,11,49,2,18,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,6,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,Arizona,2107,2135,86,1261,1022,586,2378,3793,604,479,2078,2929,3813,1002,4641,332,3274,1464,4303,3795,2389,10454,2515,4934,4959,10086,6785,7659,9845,9067,4305,7868,6350,8878,6328,1593,5536,1022,243,561,1006,515,868,11,21,83,233,242,58,84,327,7,16,0,0,0,38,6,0,1,61,52,0,3,9,12,8,9,8,1,0,1,0,1,0,1,0,0,14,0,1,2,2,1,3,0,13
AR,Arkansas,996,849,99,5438,7222,1518,107,322,6690,1724,1096,5474,4542,2867,3780,1098,3266,2414,3824,12313,1739,7625,2910,13079,2619,2983,8637,1358,3002,816,1596,1684,1438,1453,1108,1195,1379,1269,3,3,33,447,13,37,14,2,20,8,18,10,9,14,0,0,9,0,244,0,0,0,32,0,0,0,0,2,0,3,0,1,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0
CA,California,43585,27807,12618,26551,25650,28799,49092,5107,19452,67180,10391,12876,97526,20093,58518,30026,57500,7030,49335,33161,14616,60242,37229,53985,60293,67174,32254,50403,35074,38951,22222,36853,28140,20028,32844,13864,15299,5260,1648,883,1949,2987,3209,832,1086,5217,2460,8664,643,974,903,345,750,137,268,204,289,293,480,571,5125,1433,39,45,34,7,10,70,1,2,1,40,0,5,6,4,0,4,17,9,27,31,8,17,92,16,2
CO,Colorado,11821,4787,2376,297,12946,12786,604,1027,8403,5182,1428,7728,5545,12237,5991,775,13068,1759,9147,7221,5191,11791,4196,9808,1906,4790,14190,2887,9436,7037,6806,3879,9001,6298,3276,6009,1450,1635,498,139,132,891,519,185,158,1170,349,514,24,72,22,8,6,0,0,4,0,5,107,29,115,0,11,0,14,8,5,29,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0
CT,Connecticut,1978,12869,5701,5430,4659,24149,3987,10181,1388,15817,2656,6281,10642,9996,9051,2654,7816,16187,2836,19012,3830,4582,26067,1634,5026,28900,2697,9587,15792,13030,11057,6768,17790,5859,5629,9222,953,106,707,635,116,1211,1504,2009,174,129,265,812,329,4,9,6,2,0,0,2,3,8,6,76,0,9,0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,5,0,0
DE,Delaware,264,2428,39,205,3063,1040,1490,1796,492,159,95,3593,205,1713,316,257,625,58,1046,741,625,670,381,408,1942,105,866,331,515,616,956,1698,607,1201,394,519,271,56,24,500,268,46,55,10,16,35,113,24,9,1,4,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
DC,District of Columbia,903,4198,273,533,6461,929,2124,2053,432,3687,93,3779,1539,2151,2863,200,4472,530,2587,2248,1705,1453,2532,295,3032,451,1596,868,1420,397,1210,366,703,221,346,157,407,27,6,43,345,18,2,10,1,2,13,1,1,1,5,1,1,0,0,0,0,0,0,8,12,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,2,0
